code,date,src,bid_peak,eligible_count,base_peak,have_days,base_all_hogaplay,base_min_eligible,ratio,name,market,is_etf,same_source,open,high,low,close,volume,ret_d,body_d,ret5_pre,ret20_pre,ret_rs,adv20,vol_ratio20,hi52,prior_hi20,fwd1,fwd3,fwd5,fwd10,fwd20,fwd1_o,fwd3_o,fwd5_o,fwd10_o,fwd20_o,gap_next,fwd_max_high,fwd_min_low,fwd_min_close,ma5,ma20,ma60,ma120,mfe10,mae10,support_low_held,support_close_held,resist_broken,breakout_on_d,pct_of_hi52,above_ma5,above_ma20,above_ma60,above_ma120,ma_bull_align,rs_pct,open_right,high_right,low_right,close_right,ix_ret1,ix_body,ix_ret5_pre,ix_ret20_pre,ix_above_ma20,ix_above_ma60,ix_fwd1,ix_fwd3,ix_fwd5,ix_fwd10,ix_fwd20,leader_rs,leader_user,leader_bucket,ratio_bucket,ix_mom5,ix_candle,ix_trend,d_candle,ma_state,ma_pos,hi52_pos,xs1,xs3,xs5,xs10,xs20,peak_tod,peak_tod_bucket
000150,20260828,hogaplay,3596,18389,2385,10,true,16523,1.5077568134171908,두산,KOSPI,false,true,1196000.0,1240000.0,1192000.0,1238000.0,55393,0.01976935749588149,0.03511705685618729,0.14842300556586263,0.37555555555555564,0.15377446411929174,78307840900.0,0.8149726751033374,2489000.0,1358000.0,0.020193861066235774,-0.0945072697899838,,,,0.059563758389261645,-0.059563758389261756,,,,-0.037156704361874016,,,,1163600.0,1202000.0,1346816.6666666667,1373583.3333333333,,,,,,false,0.4973885094415428,true,true,false,false,false,0.6674876847290641,6846.54,6901.78,6780.13,6788.88,-0.017865073773539297,-0.008421772165210435,-0.017947475390390433,0.21369575011262953,true,false,0.004586912716088687,-0.0333133005738796,,,,false,true,비주도주,1.5–2.0×,지수 5일 하락,지수 음봉,지수>MA20,당일 양봉,비정배열,MA20 위·MA60 아래,52주 고가 20%+ 아래,0.015606948350147087,-0.061193969216104205,,,,14:48,14:00–15:30
000270,20260409,hogaplay,36757,48736,20845,10,true,3392,1.7633485248260974,기아,KOSPI,false,true,159300.0,163200.0,149100.0,150500.0,1896387,-0.05464824120603018,-0.05524168236032643,-0.0006640106241699861,-0.09880239520958078,0.46829268292682924,181620622245.0,1.6972897371040023,212500.0,176300.0,-0.009966777408637828,-0.008637873754152814,0.049169435215946855,0.05249169435215939,0.16079734219269093,-0.03246753246753242,-0.03116883116883118,0.025324675324675416,0.02857142857142847,0.13441558441558432,0.023255813953488413,164800.0,145700.0,147400.0,152460.0,158030.0,160818.33333333334,139332.5,0.09501661129568095,-0.03189368770764123,false,false,false,false,0.7082352941176471,false,false,false,true,false,0.5295081967213114,5826.45,5862.41,5757.49,5778.01,-0.016063443193003124,-0.008313810296149388,0.103927169209312,0.03488290870012989,true,true,0.013994437531260617,0.032838295537737094,0.07754226801268937,0.12076822296949996,0.353794818631328,false,true,비주도주,1.5–2.0×,지수 5일 상승,지수 음봉,지수>MA20,당일 음봉,비정배열,MA20 아래,52주 고가 20%+ 아래,-0.023961214939898445,-0.04147616929188991,-0.02837283279674252,-0.06827652861734057,-0.19299747643863707,15:16,14:00–15:30
000270,20260724,hogaplay,30224,58190,12552,10,true,4911,2.4079031230082855,기아,KOSPI,false,true,146300.0,146800.0,129500.0,130500.0,1512716,-0.1288384512683578,-0.10799726589200273,-0.12825651302605212,-0.06451612903225812,-0.15914948453608246,158028236430.0,1.4265601144630986,212500.0,162900.0,-0.0007662835249042654,-0.0773946360153257,0.01072796934865905,0.03371647509578546,0.00766283524904221,-0.020285499624342562,-0.09541697971450036,-0.009015777610818954,0.013523666416228375,-0.012021036814425234,0.01992337164750957,135800.0,114700.0,120400.0,142340.0,145280.0,155561.66666666666,158250.0,0.0406130268199234,-0.12107279693486594,false,false,false,false,0.6141176470588235,false,false,false,false,false,0.36432160804020103,7000.78,7000.78,6650.41,6690.62,-0.057246202209700336,-0.044303634737843475,-0.019056974459724985,-0.25079560597068407,false,false,0.009734523855786215,-0.15355527589371387,-0.014224391760404909,-0.0645455877033817,0.0009475952901225604,false,true,비주도주,2.0–3.0×,지수 5일 하락,지수 음봉,지수<MA20,당일 음봉,비정배열,MA20 아래,52주 고가 20%+ 아래,-0.01050080738069048,0.07616063987838817,0.02495236110906396,0.09826206279916716,0.00671523995891965,15:03,14:00–15:30
000270,20260827,hogaplay,52199,62205,27778,10,true,29844,1.8791489668082655,기아,KOSPI,false,true,133000.0,134600.0,125000.0,126100.0,1435376,-0.04033485540334858,-0.0518796992481203,-0.038138825324180003,0.047342192691029794,-0.19527760051052967,109236028765.0,1.6997853443345572,212500.0,142400.0,0.015067406819984086,0.04044409199048382,,,,0.014263074484944571,0.03961965134706813,,,,0.0007930214115781098,,,,130960.0,132700.0,143491.66666666666,151675.83333333334,,,,,,false,0.5934117647058823,false,false,false,false,false,0.21534653465346534,6996.12,6996.12,6841.88,6912.37,0.015299175554220446,-0.011970921024796601,0.008725180880777783,0.22056808470063083,true,false,-0.017865073773539297,-0.011077242682321686,-0.03618585231982663,,,false,true,비주도주,1.5–2.0×,지수 5일 상승,지수 양봉,지수>MA20,당일 음봉,비정배열,MA20 아래,52주 고가 20%+ 아래,0.03293248059352338,0.05152133467280551,,,,14:36,14:00–15:30
000500,20260416,hogaplay,7370,25667,4083,10,true,2751,1.8050453098212098,가온전선,KOSPI,false,true,143500.0,150900.0,131100.0,142500.0,255369,0.11328125,-0.006968641114982578,0.37548262548262556,0.2814748201438848,1.4825783972125435,7672463425.0,4.780073993446722,150900.0,134400.0,0.03017543859649119,0.09052631578947379,0.4631578947368422,0.6947368421052631,1.6666666666666665,0.059163059163059195,0.1212121212121211,0.5043290043290043,0.7424242424242424,1.7417027417027415,-0.027368421052631597,241500.0,135900.0,146800.0,116980.0,108865.0,99321.66666666667,89071.66666666667,0.6947368421052631,-0.0463157894736842,true,true,true,true,0.9443339960238568,true,true,true,true,true,0.8738170347003155,6149.49,6231.03,6126.06,6226.05,0.022106612776394252,0.012449812911314662,0.07754226801268937,0.08030753641193633,true,true,-0.005481806281671386,0.026087166020189345,0.04011532191357281,0.05988066269946435,0.2071923611278419,true,false,주도주(RS상위20%),1.5–2.0×,지수 5일 상승,지수 양봉,지수>MA20,당일 양봉,정배열,MA20·60 위,52주 고가 5–20% 아래,0.035657244878162575,0.06443914976928444,0.4230425728232694,0.6348561794057987,1.4594743055388246,,
000500,20260612,hogaplay,13239,47089,3990,10,true,1541,3.318045112781955,가온전선,KOSPI,false,true,347000.0,347000.0,246500.0,252000.0,770714,-0.2222222222222222,-0.2737752161383285,-0.17781402936378465,-0.500990099009901,2.3333333333333335,72920342650.0,4.192029197358205,635000.0,635000.0,0.0,0.35317460317460325,0.3392857142857142,0.3055555555555556,0.009920634920634885,-0.0561797752808989,0.27715355805243447,0.2640449438202248,0.23220973782771526,-0.04681647940074907,0.059523809523809534,429500.0,246500.0,252000.0,299400.0,352300.0,242178.33333333334,166596.66666666666,0.7043650793650793,-0.02182539682539686,true,true,false,false,0.3968503937007874,false,false,true,true,false,0.9303904923599321,8263.85,8434.4,8079.77,8123.62,0.046325646095093376,-0.01696908825789438,-0.004530309695745083,0.03564630845702643,true,true,0.05199159980402812,0.0911687154248968,0.1143332652192004,0.03540170515115171,-0.07972800303313055,true,false,주도주(RS상위20%),≥3.0×,지수 5일 하락,지수 양봉,지수>MA20,당일 음봉,비정배열,MA20 아래,52주 고가 20%+ 아래,-0.05199159980402812,0.26200588774970646,0.2249524490665138,0.2701538504044039,0.08964863795376543,14:04,14:00–15:30
000500,20260827,hogaplay,10444,48186,4405,10,true,14267,2.3709421112372304,가온전선,KOSPI,false,true,175700.0,217000.0,171000.0,211500.0,792916,0.25,0.20375640295959022,0.28259551243177694,0.7279411764705883,1.4143835616438358,31292701290.0,4.555034291322717,635000.0,178000.0,-0.03546099290780147,-0.014184397163120588,,,,-0.009708737864077666,0.012135922330097193,,,,-0.026004728132387744,,,,171580.0,156925.0,230935.0,221924.16666666666,,,,,,true,0.33307086614173226,true,true,false,false,false,0.9356435643564357,6996.12,6996.12,6841.88,6912.37,0.015299175554220446,-0.011970921024796601,0.008725180880777783,0.22056808470063083,true,false,-0.017865073773539297,-0.011077242682321686,-0.03618585231982663,,,true,false,주도주(RS상위20%),2.0–3.0×,지수 5일 상승,지수 양봉,지수>MA20,당일 양봉,비정배열,MA20 위·MA60 아래,52주 고가 20%+ 아래,-0.017595919134262172,-0.0031071544807989016,,,,15:18,14:00–15:30
000660,20260610,hogaplay,70314,69984,46236,10,true,3136,1.5207630417856215,SK하이닉스,KOSPI,false,true,2137000.0,2180000.0,1992000.0,2048000.0,4928269,-0.0753950338600452,-0.0416471689284043,-0.1322033898305085,0.08936170212765959,2.618374558303887,12280165450200.0,0.8059893515287273,2407000.0,2407000.0,0.02587890625,0.1171875,0.23095703125,0.259765625,0.013671875,0.06379746835443045,0.1584810126582279,0.27645569620253174,0.3063291139240507,0.05113924050632912,-0.03564453125,2945000.0,1960000.0,2101000.0,2108400.0,2049650.0,1431533.3333333333,1108166.6666666667,0.43798828125,-0.04296875,false,true,true,false,0.8508516825924387,false,false,true,true,true,0.9584664536741214,7899.77,7996.68,7541.11,7730.82,-0.04521590281748766,-0.021386698600085918,-0.12164644849906092,-0.011687189347296956,false,true,0.004285444493598467,0.10544288962878445,0.14661057947281142,0.09574663489772117,-0.06261043459814086,true,false,주도주(RS상위20%),1.5–2.0×,지수 5일 하락,지수 음봉,지수<MA20,당일 음봉,정배열,MA20 아래,52주 고가 5–20% 아래,0.021593461756401533,0.011744610371215547,0.08434645177718858,0.16401899010227883,0.07628230959814086,14:42,14:00–15:30
000660,20260701,hogaplay,113461,71766,67266,10,true,51957,1.6867511075431867,SK하이닉스,KOSPI,false,true,2665000.0,2723000.0,2502000.0,2560000.0,4277276,-0.03396226415094339,-0.039399624765478425,-0.007751937984496138,0.0847457627118644,2.781388478581979,13766200019350.0,0.7543221971499219,2987000.0,2987000.0,-0.14570312500000004,-0.08476562499999996,-0.18906250000000002,-0.18671875000000004,-0.48359375000000004,-0.0697575499787324,-0.0034028073160357053,-0.11697150148872815,-0.11441939600170137,-0.4376860910250957,-0.08164062500000002,2497000.0,1678000.0,1845000.0,2685600.0,2445750.0,1836050.0,1354808.3333333333,-0.024609375000000044,-0.34453124999999996,false,false,false,false,0.8570472045530633,false,true,true,true,true,0.9594017094017094,8591.5,8620.15,8143.33,8303.41,-0.02041767337385325,-0.033531979281848354,-0.019786283115846848,-0.056590418213279814,false,true,-0.07892179237204955,-0.03035861170290277,-0.12725133409045197,-0.12272066536519333,-0.32635387148171646,true,false,주도주(RS상위20%),1.5–2.0×,지수 5일 하락,지수 음봉,지수<MA20,당일 음봉,정배열,MA20·60 위,52주 고가 5–20% 아래,-0.0667813326279505,-0.054407013297097184,-0.06181116590954805,-0.06399808463480672,-0.15723987851828358,15:01,14:00–15:30
000720,20260409,hogaplay,49791,59606,27738,10,true,2903,1.7950465065974475,현대건설,KOSPI,false,true,182500.0,185800.0,177200.0,183400.0,1607503,-0.028086910439851565,0.004931506849315068,0.23252688172043,0.17790622992935123,2.1840277777777777,244851633200.0,1.0863442357939046,198400.0,198400.0,-0.021264994547437244,-0.03653217011995635,-0.021264994547437244,-0.043620501635768805,-0.09596510359869137,-0.060209424083769614,-0.07486910994764395,-0.060209424083769614,-0.08167539267015711,-0.13193717277486916,0.04143947655398028,191100.0,166800.0,168800.0,166200.0,159145.0,133806.66666666666,100438.33333333333,0.041984732824427384,-0.09051254089422023,false,false,false,false,0.9243951612903226,true,true,true,true,true,0.9442622950819672,5826.45,5862.41,5757.49,5778.01,-0.016063443193003124,-0.008313810296149388,0.103927169209312,0.03488290870012989,true,true,0.013994437531260617,0.032838295537737094,0.07754226801268937,0.12076822296949996,0.353794818631328,true,true,주도주(RS상위20%),1.5–2.0×,지수 5일 상승,지수 음봉,지수>MA20,당일 음봉,정배열,MA20·60 위,52주 고가 5–20% 아래,-0.03525943207869786,-0.06937046565769345,-0.09880726256012662,-0.16438872460526877,-0.44975992223001937,09:32,09:00–10:00
